"Trees","Covariates","Rule","PAPE Metric","sd"
"100","All","harmless",0.015115244237772,0.00267820588445897
"500","Offense-based","simple",0.0016908420126879,0.000985148159892232
"1000","Defendant-based","harmless",0.011153918791873,0.00265109927572417
"100","All","simple",0.0014124866736275,0.000979448528011097
"500","Offense-based","harmless",0.0153098953955028,0.00270918229095309
"1000","Defendant-based","simple",0.00252997323350285,0.000927836755250237
"100","All","harmless",0.00941746221790201,0.00299569190510051
"500","Offense-based","simple",0.000219212288314519,0.000579401888224678
"1000","Defendant-based","harmless",0.0139605661211215,0.00298914076617392
"100","All","simple",0.000301153792806975,0.000597012993939694
"500","Offense-based","harmless",0.0144505226362157,0.00299522551732893
"1000","Defendant-based","simple",-0.000313017534290029,0.000596847174243216
"100","All","harmless",0.0117138320132109,0.00293503879045563
"500","Offense-based","simple",2.59573918715673e-05,0.000522456892224962
"1000","Defendant-based","harmless",0.0159813177651668,0.00293311469585108
"100","All","simple",0.000550736453228875,0.000504029778112339
"500","Offense-based","harmless",0.00859599368321656,0.00293465179143132
"1000","Defendant-based","simple",0.000784919443031667,0.000462751702428666
